PassengerId,Survived,Pclass,Embarked,Cabin,Ticket,Fare
2,1,1,C,C85,PC 17599,71.2833
3,1,3,S,,STON/O2. 3101282,7.925
4,1,1,S,C123,113803,53.1
5,0,3,S,,373450,8.05
6,0,3,Q,,330877,8.4583
7,0,1,S,E46,17463,51.8625
8,0,3,S,,349909,21.075
9,1,3,S,,347742,11.1333
10,1,2,C,,237736,30.0708
11,1,3,S,G6,PP 9549,16.7
12,1,1,S,C103,113783,26.55
13,0,3,S,,A/5. 2151,8.05
14,0,3,S,,347082,31.275
15,0,3,S,,350406,7.8542
16,1,2,S,,248706,16.0
17,0,3,Q,,382652,29.125
18,1,2,S,,244373,13.0
19,0,3,S,,345763,18.0
20,1,3,C,,2649,7.225
21,0,2,S,,239865,26.0
22,1,2,S,D56,248698,13.0
23,1,3,Q,,330923,8.0292
24,1,1,S,A6,113788,35.5
25,0,3,S,,349909,21.075
26,1,3,S,,347077,31.3875
27,0,3,C,,2631,7.225
28,0,1,S,C23 C25 C27,19950,263.0
29,1,3,Q,,330959,7.8792
30,0,3,S,,349216,7.8958
31,0,1,C,,PC 17601,27.7208
32,1,1,C,B78,PC 17569,146.5208
33,1,3,Q,,335677,7.75
34,0,2,S,,C.A. 24579,10.5
35,0,1,C,,PC 17604,82.1708
36,0,1,S,,113789,52.0
37,1,3,C,,2677,7.2292
38,0,3,S,,A./5. 2152,8.05
39,0,3,S,,345764,18.0
40,1,3,C,,2651,11.2417
41,0,3,S,,7546,9.475
42,0,2,S,,11668,21.0
43,0,3,C,,349253,7.8958
44,1,2,C,,SC/Paris 2123,41.5792
45,1,3,Q,,330958,7.8792
46,0,3,S,,S.C./A.4. 23567,8.05
47,0,3,Q,,370371,15.5
48,1,3,Q,,14311,7.75
49,0,3,C,,2662,21.6792
50,0,3,S,,349237,17.8
51,0,3,S,,3101295,39.6875
52,0,3,S,,A/4. 39886,7.8
53,1,1,C,D33,PC 17572,76.7292
54,1,2,S,,2926,26.0
55,0,1,C,B30,113509,61.9792
56,1,1,S,C52,19947,35.5
57,1,2,S,,C.A. 31026,10.5
58,0,3,C,,2697,7.2292
59,1,2,S,,C.A. 34651,27.75
60,0,3,S,,CA 2144,46.9
61,0,3,C,,2669,7.2292
62,1,1,,B28,113572,80.0
63,0,1,S,C83,36973,83.475
64,0,3,S,,347088,27.9
65,0,1,C,,PC 17605,27.7208
66,1,3,C,,2661,15.2458
67,1,2,S,F33,C.A. 29395,10.5
68,0,3,S,,S.P. 3464,8.1583
69,1,3,S,,3101281,7.925
70,0,3,S,,315151,8.6625
71,0,2,S,,C.A. 33111,10.5
72,0,3,S,,CA 2144,46.9
73,0,2,S,,S.O.C. 14879,73.5
74,0,3,C,,2680,14.4542
75,1,3,S,,1601,56.4958
76,0,3,S,F G73,348123,7.65
77,0,3,S,,349208,7.8958
78,0,3,S,,374746,8.05
79,1,2,S,,248738,29.0
80,1,3,S,,364516,12.475
81,0,3,S,,345767,9.0
82,1,3,S,,345779,9.5
83,1,3,Q,,330932,7.7875
84,0,1,S,,113059,47.1
85,1,2,S,,SO/C 14885,10.5
86,1,3,S,,3101278,15.85
87,0,3,S,,W./C. 6608,34.375
88,0,3,S,,SOTON/OQ 392086,8.05
89,1,1,S,C23 C25 C27,19950,263.0
90,0,3,S,,343275,8.05
91,0,3,S,,343276,8.05
92,0,3,S,,347466,7.8542
93,0,1,S,E31,W.E.P. 5734,61.175
94,0,3,S,,C.A. 2315,20.575
95,0,3,S,,364500,7.25
96,0,3,S,,374910,8.05
97,0,1,C,A5,PC 17754,34.6542
98,1,1,C,D10 D12,PC 17759,63.3583
99,1,2,S,,231919,23.0
100,0,2,S,,244367,26.0
101,0,3,S,,349245,7.8958
102,0,3,S,,349215,7.8958
103,0,1,S,D26,35281,77.2875
104,0,3,S,,7540,8.6542
105,0,3,S,,3101276,7.925
106,0,3,S,,349207,7.8958
107,1,3,S,,343120,7.65
108,1,3,S,,312991,7.775
109,0,3,S,,349249,7.8958
110,1,3,Q,,371110,24.15
111,0,1,S,C110,110465,52.0
112,0,3,C,,2665,14.4542
113,0,3,S,,324669,8.05
114,0,3,S,,4136,9.825
115,0,3,C,,2627,14.4583
116,0,3,S,,STON/O 2. 3101294,7.925
117,0,3,Q,,370369,7.75
118,0,2,S,,11668,21.0
119,0,1,C,B58 B60,PC 17558,247.5208
120,0,3,S,,347082,31.275
121,0,2,S,,S.O.C. 14879,73.5
122,0,3,S,,A4. 54510,8.05
123,0,2,C,,237736,30.0708
124,1,2,S,E101,27267,13.0
125,0,1,S,D26,35281,77.2875
126,1,3,C,,2651,11.2417
127,0,3,Q,,370372,7.75
128,1,3,S,,C 17369,7.1417
129,1,3,C,F E69,2668,22.3583
130,0,3,S,,347061,6.975
131,0,3,C,,349241,7.8958
132,0,3,S,,SOTON/O.Q. 3101307,7.05
133,0,3,S,,A/5. 3337,14.5
134,1,2,S,,228414,26.0
135,0,2,S,,C.A. 29178,13.0
136,0,2,C,,SC/PARIS 2133,15.0458
137,1,1,S,D47,11752,26.2833
138,0,1,S,C123,113803,53.1
139,0,3,S,,7534,9.2167
140,0,1,C,B86,PC 17593,79.2
141,0,3,C,,2678,15.2458
142,1,3,S,,347081,7.75
143,1,3,S,,STON/O2. 3101279,15.85
144,0,3,Q,,365222,6.75
145,0,2,S,,231945,11.5
146,0,2,S,,C.A. 33112,36.75
147,1,3,S,,350043,7.7958
148,0,3,S,,W./C. 6608,34.375
149,0,2,S,F2,230080,26.0
150,0,2,S,,244310,13.0
151,0,2,S,,S.O.P. 1166,12.525
152,1,1,S,C2,113776,66.6
153,0,3,S,,A.5. 11206,8.05
154,0,3,S,,A/5. 851,14.5
155,0,3,S,,Fa 265302,7.3125
156,0,1,C,,PC 17597,61.3792
157,1,3,Q,,35851,7.7333
158,0,3,S,,SOTON/OQ 392090,8.05
159,0,3,S,,315037,8.6625
160,0,3,S,,CA. 2343,69.55
161,0,3,S,,371362,16.1
162,1,2,S,,C.A. 33595,15.75
163,0,3,S,,347068,7.775
164,0,3,S,,315093,8.6625
165,0,3,S,,3101295,39.6875
166,1,3,S,,363291,20.525
167,1,1,S,E33,113505,55.0
168,0,3,S,,347088,27.9
169,0,1,S,,PC 17318,25.925
170,0,3,S,,1601,56.4958
171,0,1,S,B19,111240,33.5
172,0,3,Q,,382652,29.125
173,1,3,S,,347742,11.1333
174,0,3,S,,STON/O 2. 3101280,7.925
175,0,1,C,A7,17764,30.6958
176,0,3,S,,350404,7.8542
177,0,3,S,,4133,25.4667
178,0,1,C,C49,PC 17595,28.7125
179,0,2,S,,250653,13.0
180,0,3,S,,LINE,0.0
181,0,3,S,,CA. 2343,69.55
182,0,2,C,,SC/PARIS 2131,15.05
183,0,3,S,,347077,31.3875
184,1,2,S,F4,230136,39.0
185,1,3,S,,315153,22.025
186,0,1,S,A32,113767,50.0
187,1,3,Q,,370365,15.5
188,1,1,S,,111428,26.55
189,0,3,Q,,364849,15.5
190,0,3,S,,349247,7.8958
191,1,2,S,,234604,13.0
192,0,2,S,,28424,13.0
193,1,3,S,,350046,7.8542
194,1,2,S,F2,230080,26.0
195,1,1,C,B4,PC 17610,27.7208
196,1,1,C,B80,PC 17569,146.5208
197,0,3,Q,,368703,7.75
198,0,3,S,,4579,8.4042
199,1,3,Q,,370370,7.75
200,0,2,S,,248747,13.0
201,0,3,S,,345770,9.5
202,0,3,S,,CA. 2343,69.55
203,0,3,S,,3101264,6.4958
204,0,3,C,,2628,7.225
205,1,3,S,,A/5 3540,8.05
206,0,3,S,G6,347054,10.4625
207,0,3,S,,3101278,15.85
208,1,3,C,,2699,18.7875
209,1,3,Q,,367231,7.75
210,1,1,C,A31,112277,31.0
211,0,3,S,,SOTON/O.Q. 3101311,7.05
212,1,2,S,,F.C.C. 13528,21.0
213,0,3,S,,A/5 21174,7.25
214,0,2,S,,250646,13.0
215,0,3,Q,,367229,7.75
216,1,1,C,D36,35273,113.275
217,1,3,S,,STON/O2. 3101283,7.925
218,0,2,S,,243847,27.0
219,1,1,C,D15,11813,76.2917
220,0,2,S,,W/C 14208,10.5
221,1,3,S,,SOTON/OQ 392089,8.05
222,0,2,S,,220367,13.0
223,0,3,S,,21440,8.05
224,0,3,S,,349234,7.8958
225,1,1,S,C93,19943,90.0
226,0,3,S,,PP 4348,9.35
227,1,2,S,,SW/PP 751,10.5
228,0,3,S,,A/5 21173,7.25
229,0,2,S,,236171,13.0
230,0,3,S,,4133,25.4667
231,1,1,S,C83,36973,83.475
232,0,3,S,,347067,7.775
233,0,2,S,,237442,13.5
234,1,3,S,,347077,31.3875
235,0,2,S,,C.A. 29566,10.5
236,0,3,S,,W./C. 6609,7.55
237,0,2,S,,26707,26.0
238,1,2,S,,C.A. 31921,26.25
239,0,2,S,,28665,10.5
240,0,2,S,,SCO/W 1585,12.275
241,0,3,C,,2665,14.4542
242,1,3,Q,,367230,15.5
243,0,2,S,,W./C. 14263,10.5
244,0,3,S,,STON/O 2. 3101275,7.125
245,0,3,C,,2694,7.225
246,0,1,Q,C78,19928,90.0
247,0,3,S,,347071,7.775
248,1,2,S,,250649,14.5
249,1,1,S,D35,11751,52.5542
250,0,2,S,,244252,26.0
251,0,3,S,,362316,7.25
252,0,3,S,G6,347054,10.4625
253,0,1,S,C87,113514,26.55
254,0,3,S,,A/5. 3336,16.1
255,0,3,S,,370129,20.2125
256,1,3,C,,2650,15.2458
257,1,1,C,,PC 17585,79.2
258,1,1,S,B77,110152,86.5
259,1,1,C,,PC 17755,512.3292
260,1,2,S,,230433,26.0
261,0,3,Q,,384461,7.75
262,1,3,S,,347077,31.3875
263,0,1,S,E67,110413,79.65
264,0,1,S,B94,112059,0.0
265,0,3,Q,,382649,7.75
266,0,2,S,,C.A. 17248,10.5
267,0,3,S,,3101295,39.6875
268,1,3,S,,347083,7.775
269,1,1,S,C125,PC 17582,153.4625
270,1,1,S,C99,PC 17760,135.6333
271,0,1,S,,113798,31.0
272,1,3,S,,LINE,0.0
273,1,2,S,,250644,19.5
274,0,1,C,C118,PC 17596,29.7
275,1,3,Q,,370375,7.75
276,1,1,S,D7,13502,77.9583
277,0,3,S,,347073,7.75
278,0,2,S,,239853,0.0
279,0,3,Q,,382652,29.125
280,1,3,S,,C.A. 2673,20.25
281,0,3,Q,,336439,7.75
282,0,3,S,,347464,7.8542
283,0,3,S,,345778,9.5
284,1,3,S,,A/5. 10482,8.05
285,0,1,S,A19,113056,26.0
286,0,3,C,,349239,8.6625
287,1,3,S,,345774,9.5
288,0,3,S,,349206,7.8958
289,1,2,S,,237798,13.0
290,1,3,Q,,370373,7.75
291,1,1,S,,19877,78.85
292,1,1,C,B49,11967,91.0792
293,0,2,C,D,SC/Paris 2163,12.875
294,0,3,S,,349236,8.85
295,0,3,S,,349233,7.8958
296,0,1,C,,PC 17612,27.7208
297,0,3,C,,2693,7.2292
298,0,1,S,C22 C26,113781,151.55
299,1,1,S,C106,19988,30.5
300,1,1,C,B58 B60,PC 17558,247.5208
301,1,3,Q,,9234,7.75
302,1,3,Q,,367226,23.25
303,0,3,S,,LINE,0.0
304,1,2,Q,E101,226593,12.35
305,0,3,S,,A/5 2466,8.05
306,1,1,S,C22 C26,113781,151.55
307,1,1,C,,17421,110.8833
308,1,1,C,C65,PC 17758,108.9
309,0,2,C,,P/PP 3381,24.0
310,1,1,C,E36,PC 17485,56.9292
311,1,1,C,C54,11767,83.1583
312,1,1,C,B57 B59 B63 B66,PC 17608,262.375
313,0,2,S,,250651,26.0
314,0,3,S,,349243,7.8958
315,0,2,S,,F.C.C. 13529,26.25
316,1,3,S,,347470,7.8542
317,1,2,S,,244367,26.0
318,0,2,S,,29011,14.0
319,1,1,S,C7,36928,164.8667
320,1,1,C,E34,16966,134.5
321,0,3,S,,A/5 21172,7.25
322,0,3,S,,349219,7.8958
323,1,2,Q,,234818,12.35
324,1,2,S,,248738,29.0
325,0,3,S,,CA. 2343,69.55
326,1,1,C,C32,PC 17760,135.6333
327,0,3,S,,345364,6.2375
328,1,2,S,D,28551,13.0
329,1,3,S,,363291,20.525
330,1,1,C,B18,111361,57.9792
331,1,3,Q,,367226,23.25
332,0,1,S,C124,113043,28.5
333,0,1,S,C91,PC 17582,153.4625
334,0,3,S,,345764,18.0
335,1,1,S,,PC 17611,133.65
336,0,3,S,,349225,7.8958
337,0,1,S,C2,113776,66.6
338,1,1,C,E40,16966,134.5
339,1,3,S,,7598,8.05
340,0,1,S,T,113784,35.5
341,1,2,S,F2,230080,26.0
342,1,1,S,C23 C25 C27,19950,263.0
343,0,2,S,,248740,13.0
344,0,2,S,,244361,13.0
345,0,2,S,,229236,13.0
346,1,2,S,F33,248733,13.0
347,1,2,S,,31418,13.0
348,1,3,S,,386525,16.1
349,1,3,S,,C.A. 37671,15.9
350,0,3,S,,315088,8.6625
351,0,3,S,,7267,9.225
352,0,1,S,C128,113510,35.0
353,0,3,C,,2695,7.2292
354,0,3,S,,349237,17.8
355,0,3,C,,2647,7.225
356,0,3,S,,345783,9.5
357,1,1,S,E33,113505,55.0
358,0,2,S,,237671,13.0
359,1,3,Q,,330931,7.8792
360,1,3,Q,,330980,7.8792
361,0,3,S,,347088,27.9
362,0,2,C,,SC/PARIS 2167,27.7208
363,0,3,C,,2691,14.4542
364,0,3,S,,SOTON/O.Q. 3101310,7.05
365,0,3,Q,,370365,15.5
366,0,3,S,,C 7076,7.25
367,1,1,C,D37,110813,75.25
368,1,3,C,,2626,7.2292
369,1,3,Q,,14313,7.75
370,1,1,C,B35,PC 17477,69.3
371,1,1,C,E50,11765,55.4417
372,0,3,S,,3101267,6.4958
373,0,3,S,,323951,8.05
374,0,1,C,,PC 17760,135.6333
375,0,3,S,,349909,21.075
376,1,1,C,,PC 17604,82.1708
377,1,3,S,,C 7077,7.25
378,0,1,C,C82,113503,211.5
379,0,3,C,,2648,4.0125
380,0,3,S,,347069,7.775
381,1,1,C,,PC 17757,227.525
382,1,3,C,,2653,15.7417
383,0,3,S,,STON/O 2. 3101293,7.925
384,1,1,S,,113789,52.0
385,0,3,S,,349227,7.8958
386,0,2,S,,S.O.C. 14879,73.5
387,0,3,S,,CA 2144,46.9
388,1,2,S,,27849,13.0
389,0,3,Q,,367655,7.7292
390,1,2,C,,SC 1748,12.0
391,1,1,S,B96 B98,113760,120.0
392,1,3,S,,350034,7.7958
393,0,3,S,,3101277,7.925
394,1,1,C,D36,35273,113.275
395,1,3,S,G6,PP 9549,16.7
396,0,3,S,,350052,7.7958
397,0,3,S,,350407,7.8542
398,0,2,S,,28403,26.0
399,0,2,S,,244278,10.5
400,1,2,S,,240929,12.65
401,1,3,S,,STON/O 2. 3101289,7.925
402,0,3,S,,341826,8.05
403,0,3,S,,4137,9.825
404,0,3,S,,STON/O2. 3101279,15.85
405,0,3,S,,315096,8.6625
406,0,2,S,,28664,21.0
407,0,3,S,,347064,7.75
408,1,2,S,,29106,18.75
409,0,3,S,,312992,7.775
410,0,3,S,,4133,25.4667
411,0,3,S,,349222,7.8958
412,0,3,Q,,394140,6.8583
413,1,1,Q,C78,19928,90.0
414,0,2,S,,239853,0.0
415,1,3,S,,STON/O 2. 3101269,7.925
416,0,3,S,,343095,8.05
417,1,2,S,,28220,32.5
418,1,2,S,,250652,13.0
419,0,2,S,,28228,13.0
420,0,3,S,,345773,24.15
421,0,3,C,,349254,7.8958
422,0,3,Q,,A/5. 13032,7.7333
423,0,3,S,,315082,7.875
424,0,3,S,,347080,14.4
425,0,3,S,,370129,20.2125
426,0,3,S,,A/4. 34244,7.25
427,1,2,S,,2003,26.0
428,1,2,S,,250655,26.0
429,0,3,Q,,364851,7.75
430,1,3,S,E10,SOTON/O.Q. 392078,8.05
431,1,1,S,C52,110564,26.55
432,1,3,S,,376564,16.1
433,1,2,S,,SC/AH 3085,26.0
434,0,3,S,,STON/O 2. 3101274,7.125
435,0,1,S,E44,13507,55.9
436,1,1,S,B96 B98,113760,120.0
437,0,3,S,,W./C. 6608,34.375
438,1,2,S,,29106,18.75
439,0,1,S,C23 C25 C27,19950,263.0
440,0,2,S,,C.A. 18723,10.5
441,1,2,S,,F.C.C. 13529,26.25
442,0,3,S,,345769,9.5
443,0,3,S,,347076,7.775
444,1,2,S,,230434,13.0
445,1,3,S,,65306,8.1125
